c1,essay,prompt,essay_as_single_utf8_string
120,"['O porte de armam de fogo pela sociedade civil é um tema atual que gera bastante discursões na mídia. O armamento é um aliado para defesa pessoal de quem o porta, para a própria proteção e da família. É certo que em uma sociedade democrática como a nossa, que o cidadão tenha o direito de escolher querer possuir ou não uma arma. Entretanto, a autorização para tal deve estar vinculada à avaliação psíquica do indivíduo, treinamento especializado e lugar seguro para guardá-la.', 'Em uma sociedade violenta (como a) em que vivemos, o uso de uma arma se faz necessário para melhorar a segurança de quem a porta, protegendo a si, e a família, onde por exemplo, um possível criminoso sentirá receio em abordar quem está armado. Neste caso o porte de arma evitará uma possível prática criminosa. Olhando nossa história, percebemos que foi pago um alto preço pela democracia e liberdade de escolha, assim uma pessoa deve ter autonomia para assumir ou não a responsabilidade de carregar este instrumento de defesa pois o mesmo pode salvar uma vida. Vale lembrar que nossa Constituição de 1988 considera a vida humana de* mais grandioso, onde o Estado e a própria sociedade têm o dever de protege-la.', 'A violência urbana diminuirá na exata medida em que o cidadão capacitado possuir uma arma. Assim, haverá um declínio do comércio ilegal de armas pois a venda das mesmas está regularizada pelo Estado. Porém, este instrumento é algo sensível e delicado, devendo seu porte está restrito àqueles que apresentem requisitos para obtê-la . Devendo as autoridades cabíveis (devem) realizar exames psicológicos, para averiguar a situação mental dessas pessoas que almejam possuir uma arma. Assim também os mesmos devem realizar treinamentos para se capacitar no manuseio. E como último critério e não menos importante, o indivíduo deve possuir lugar seguro para guardá-la principalmente longe das crianças.', 'Portanto, podemos perceber que o uso da arma irá trazer segurança e diminuir a violência, como roubos, assaltos e homicídios. Toda via , para que o cidadão possa receber autorização de porte, é preciso que esteja capacitado para portá-la, onde o Estado estabelecerá critérios para tal realização. Assim, a sociedade estará segura nas mãos das pessoas certas.']",84,porte armar fogo sociedade civil tema atual gerar discursão mídia armamento aliado defesa pessoal porta próprio proteção família certo sociedade democrático cidadão ter direito escolher querer possuir arma entretanto autorização vinculado avaliação psíquico indivíduo treinamento especializar seguro guardar ela sociedade violento viver uso arma necessário melhorar segurança porta proteger se família criminoso sentir receio abordar armado caso porte arma evitar prática criminoso olhando história perceber pagar alto preço democracia liberdade escolha pessoa autonomia assumir responsabilidade carregar instrumento defesa salvar vida vale lembrar constituição 1988 considerar vida humano grandioso próprio sociedade dever protege-la violência urbano diminuir exato medida cidadão capacitar possuir arma haver declínio comércio ilegal arma venda mesmo regularizado instrumento sensível delicado dever porte restrito àqueles apresentar requisito obtê-la devendo autoridade cabível realizar exame psicológico averiguar situação mental de esse pessoa almejar possuir arma mesmo realizar treinamento capacitar manuseio critério importante indivíduo possuir seguro guardar ela principalmente criança poder perceber uso arma trazer segurança diminuir violência roubo assalto homicídio via cidadão poder receber autorização porte preciso estar capacitado portar ela estabelecer critério realização sociedade seguro mão pessoa certo
160,"['É possível afirmar que que, com a evolução dos meios de produção e das relações sociais humanas humanas, houve uma ampliação no desgaste ambiental que destrói habitats de muitas espécies vegetais e animais. Isso se evidencia pelas invasões de ursos polares em vilarejos na Rússia e dá origem a uma situação conflitante entre o meio ambiente e o bem-estar humano.', 'Recentemente uma pequena cidade russa tem sido alvo de invasões e ataques praticados por ursos polares. Essas são consequência do aquecimento global que gera o descongelamento de geleiras no Ártico, cerca de 13% por década, desencadeando uma redução no habitat e áreas de caça desses animais. Sem alimento, os ursos invadem locais de povoamento, causando pânico.', 'Nesse sentido, surge um impasse entre proteger o urso polar, ameaçado de extinção, poupando-os. Ou poupando-os, ou abatê-los para a segurança das pessoas que residem na localidade. Uma situação que Essa situação vem sendo discutida pelo governo russo e mundo, uma vez que, as patrulhas com carros e cães que antes os repeliam, já não surtem efeitos.', 'Sendo assim, é de grande importância a adoção de medidas mais severas em acordos internacionais para que haja uma redução na emissão de gases que provocam o aquecimento global, assim como proporcionar um desenvolvimento sustentável. O que vem ocorrendo na Rússia e em outras regiões do globo são sinais alerta que não devem ser ignorados.']",11,afirmar evolução meio produção relação social humano humano haver ampliação desgaste ambiental destróir habitat muito espécie vegetal animal evidenciar invasão urso polar vilarejo rússia origem situação conflitante ambiente bem-estar humano recentemente pequeno cidade russo ser alvo invasão ataque praticar urso polar consequência aquecimento global gerar descongelamento geleira ártico cerca 13 década desencadear redução habitat área caça de esse animal alimento urso invadir local povoamento causar pânico sentido surgir impasse proteger urso polar ameaçar extinção poupando-os poupando-os abatê-los segurança pessoa resider localidade situação situação ser discuter governo russo mundo patrulha carro cão repelar surtir efeito ser importância adoção medida severo acordo internacional haver redução emissão gase provocar aquecimento global proporcionar desenvolvimento sustentável ocorrer rússia região globo sinal alerta ignorar
160,"['Lei de iniciativa popular é um importante instrumento da democracia que realmente coloca o poder nas mãos do povo. Com o uso deste instrumento previsto na constituição, uma lei pode ser feita por um cidadão qualquer e acompanhada de um número determinado de assinaturas vai parar diretamente na diretoria do poder legislativo para ser avaliada como se es tivesse sido formulada por um parlamentar. Até hoje foram aprovadas apenas quatro leis de iniciativa popular, e nenhuma delas é da área da educação. Sendo assim, propõe-se a Lei do Aluno Dedicado para iniciar-se do princípio de um cidadão.', 'Não é querer copiar gringo, mas a seleção das universidades Norte Americanas é muito mais eficaz que o nosso tradicional ENEM. Lá a seleção é feita pelas notas que os alunos tiraram no colegial e não apenas pela nota de uma única prova. Muita coisa pode dar errada no dia da prova do ENEM (que muitos alunos consideram mais um teste de resistência do que de conhecimento). Por isto, diluir esta carga ao longo da vida escolar do aluno pode tanto valorizar o ensino tradicional, quanto motivar os alunos a dedicarem-se aos estudos enquanto ainda estão na escola e não apenas estudar para uma prova específica. Objetivando assim reconhecer o aluno mais dedicado.', 'O projeto de lei inicialmente pretende avaliar os métodos de seleção, para comparar qual método é mais eficaz para os brasileiros. Propõe-se nele dividir todas as bolsas de ensino superior em dois grupos iguais em número, uma destinada a tradicional seleção exclusivamente pela nota do ENEM, e a outro destinada aos alunos com média ponderada mais alta a partir da quinta série até a conclusão do ensino médio. A ponderação da nota será feita de acordo com o curso que o aluno escolheu e as disciplinas (em) que o mesmo mais se destacou (similar a nota do ENEM). Porém, como as instituições de ensino têm níveis diferentes de avaliação, esta nota ainda deve ser submetida a um multiplicador que varia de acordo com o rendimento da instituição de ensino no ENEM do último ano. O aluno que desejar alterar o seu multiplicador deve fazer o ENEM do ano atual para obter o seu multiplicador individual. Ao longo de uma geração (vinte anos) cada instituição de ensino superior deve enviar um relatório comparando os resultados acadêmicos dos dois grupos.']",85,lei iniciativa popular importante instrumento democracia realmente colocar mão uso instrumento prever constituição lei fazer cidadão acompanhar determinar assinatura parar diretamente diretoria legislativo avaliar es ter ser formular parlamentar hoje aprovar lei iniciativa popular de elas educação ser propõer se lei aluno dedicar iniciar se princípio cidadão querer copiar gringo seleção universidade norte americanas eficaz tradicional enem seleção fazer nota aluno tirar colegial nota único prova muito errar dia prova enem aluno considerar teste resistência conhecimento diluir carga longo vida escolar aluno valorizar ensino tradicional motivar aluno dedicar se estudo escola estudar prova específico objetivando reconhecer aluno dedicado projeto lei inicialmente pretender avaliar método seleção comparar método eficaz brasileiro propõe-se em ele dividir bolsa ensino alto grupo igual destinado tradicional seleção exclusivamente nota enem outro destinar aluno média ponderar alto série conclusão ensino médio ponderação nota ser fazer acordo curso aluno escolher disciplina destacar similar nota enem instituição ensino nível diferente avaliação nota submetir multiplicador variar acordo rendimento instituição ensino enem ano aluno desejar alterar multiplicador enem ano atual obter multiplicador individual longo geração ano instituição ensino se uperior enviar relatório comparar resultado acadêmico grupo
120,"['Atualmente, muito se tem discutido acerca da ""influência dos meios de comunicação na sociedade brasileira"". Por um lado as redes sociais favorecem no diálogo e por outro temos as ""famosas fake news.""', 'As redes sociais ajudam na comunicação entre pessoas de lugares diferentes no globo terrestre.', 'Há também as fake news ou noticias falsas que influenciam as pessoas e muitas acabam compartilhando sem antes averiguar se são realmente verdadeiras.', 'Portanto, medidas precisam ser impostas para minimizar esse problema . É preciso que as pessoas passem a averiguar essas informações antes de sair espalhando, olhando se as fontes dessa noticia são confiáveis.']",53,atualmente discutir influência meio comunicação sociedade brasileiro rede social favorecer diálogo outro famoso fake news rede social ajudar comunicação pessoa lugar diferente globo terrestre haver fake news noticia falso influenciar pessoa muito acabar compartilhar averiguar realmente verdadeiro medida precisar impor minimizar problema preciso pessoa passar averiguar informação sair espalhar olhar fonte noticia confiável
120,"['Liberdade de expressão é um direito de todos,mas a partir do momento que alguém discrimina,ofende e até mesmo age com agressões físicas contra uma pessoa por causa de sua religião ou de não crença,são crimes  podendo levar de um mês a um ano de detenção ou multa.', 'Intolerância religiosa é um preconceito, e como  o próprio nome já diz,Pré-conceito de algumas pessoas que precisa ser combatido. De acordo com a secretária de Direitos Humanos da Presidência da República,os que mais sofrem discriminações no Brasil são os fiéis de religiões afro-brasileiras. Tudo aquilo que é desconhecido é rejeitado. Os tabus da religiosidade devem ser quebrados para se chegar a uma tolerância mesmo que não aceitados. Além de ser crime contra o sentimento religioso,é bulling  ofender,discriminar,agredir um indivíduo pela sua religião. O respeito deve prevalecer por uma convivência pacífica.']",81,liberdade expressão direito alguém discriminar ofender ager agressão físico pessoa causa religião crença crime poder levar ano detenção multa intolerância religioso preconceito nome pré-conceito pessoa precisar combater acordo secretária direitos humanos presidência república sofrer discriminação brasil fiel religião afro-brasileiro desconhecer rejeitar tabu religiosidade quebrar chegar tolerância aceitar crime sentimento religioso bulling ofender discriminar agredir indivíduo religião respeito prevalecer convivência pacífico
120,"['O aumento grandioso do número de focos de queimadas na floresta amazônica mostra um estado omisso em suas políticas ambientais e o encorajamento de agentes agropecuários em aumentar seus territórios de cultivo.', 'É possível observar que nos últimos dez anos o número de incêndios na floresta amazônica vem crescendo vertiginosamente, sem acompanhamento adequado dos poderes políticos . Um dos atos praticados pelos líderes governamentais - com o intuito de gerar riqueza em uma floresta que não possui recursos suficientes para o desenvolvimento da agricultura e pecuária - foi o afrouxamento do código florestal sobre as áreas reservadas para a conservação do ecossistema e bioma.', 'Com tal feito, grandes latifundiários, buscando aumento da produtividade, realizaram de forma de inconsciente o desmatamento de áreas que abrigam riquezas da fauna e flora da Amazônia;  transformando grande espaços de mata virgem em pastos para o gado. Outro fato importante para a grande irresponsabilidade ambiental é o escasso recurso financeiro que órgãos reguladores da área possuem para realizar feitos que controlem a situação de preocupação não somente ambiental e, também, social.', 'Portanto, com a grave expansão territorial sobre a floresta amazônica e o descaso governamental, a independência de órgãos reguladores ambientais e uma reserva do valor do PIB para a conservação ambiental, traria para a sociedade a segurança e resultados de um país que busca um desenvolvimento sustentável.']",58,aumento grandioso foco queimar floresta amazônico mostrar omisso política ambiental encorajamento agente agropecuário aumentar território cultivo observar último ano incêndio floresta amazônico crescer vertiginosamente acompanhamento adequado poder político ato praticar líder governamental intuito gerar riqueza floresta possuir recurso suficiente desenvolvimento agricultura pecuária afrouxamento código florestal área reservar conservação ecossistema bioma fazer latifundiário buscar aumento produtividade realizar inconsciente desmatamento área abrigar riqueza fauna flora amazônia transformar espaço matar virgem pasto gado outro fato importante irresponsabilidade ambiental escasso recurso financeiro órgão regulador possuir realizar fazer controlar situação preocupação ambiental social grave expansão territorial floresta amazônico descaso governamental independência órgão regulador ambiental reserva pib conservação ambiental trar sociedade segurança resultado país buscar desenvolvimento sustentável
160,"['. Com o advento da Revolução Técnico- Científica em meados do século XX, a tecnologia passa a estar ao alcance da população, levando  ao rompimento das barreiras físicas e à consolidação do capitalismo financeiro e culturais e á consolidação do capitalismo financeiro. Nesse contexto, surge um trabalho que vem ganhando  espaço e reconhecimento, sobretudo como ""pontes para marketing de produtos\'\', trata-se dos influenciadores digitais. Assim, é premente discutir o seu amplo papel na sociedade e no comportamento individual dos usuários da rede social.', 'De antemão, os influenciadores digitais são grandes colaboradores na busca pela democratização do acesso a diversidade temática na internet para as diferentes massas . Nesse contexto, os canais de protubere produzem e transmitem informações culturais, econômicas, históricas e atuais. Ademais, suas divulgações se adaptam aos diversos públicos e perfis de usuários. Dessarte, a rede dos influênces integra um amplo serviço de busca no meio tecnológico cabendo reconhecer seus trabalhos na sociedade contemporânea.', 'Por conseguinte, os influenciadores também interferem significativamente no comportamento e na mentalidade dos seus seguidores. Esse fator manifesta-se tanto em nível de adequação cultural , a exemplo da luta contra o preconceito racial valorizando a negritude no canal de Gabi Oliveira, como também da decisão do consumidor na medida em que orienta sobre a qualidade de um produto . Ademais, devido à proximidade que estabelecem com o público eles são uma alternativa promissora para o comércio na divulgação de suas marcas e serviços. Dessarte, os influenciadores digitais podem atender a demanda de consumidores e do setor terciário.', 'Diante do exposto, fica evidente o papel dos influenciadores digitais em diferentes aspectos para a população . Nesse contexto, é crucial promover o reconhecimento de seus trabalhos através da mídia- principal meio de comunicação social- em parceria com ativistas que lutam pela igualdade sociocultural na internet , utilizando e divulgando conteúdos dessa via, aliás, é premente que as empresas continuem a investir no trabalho dos inflênces. asaim, é possível continuar promovendo diversidade de informações e de serviços ao alcance da população.']",49,advento revolução técnico- científica meado século xx tecnologia passar alcance população levar rompimento barreira físico consolidação capitalismo financeiro cultural consolidação capitalismo financeiro contexto surgir trabalho ganhar espaço reconhecimento sobretudo ponte marketing produto tratar se influenciador digital premente discutir amplo papel sociedade comportamento individual usuário rede social antemão influenciador digital colaborador busca democratização acesso diversidade temático internet diferentes massa contexto canal protubere produzir transmitir informação cultural econômico histórico atual divulgação adaptar diverso público perfi usuário dessarte rede influênce integrar amplo serviço busca tecnológico caber reconhecer trabalho sociedade contemporâneo conseguinte influenciador interferir significativamente comportamento mentalidade seguidor fator manifestar se adequação cultural luta preconceito racial valorizar negritude canal gabi oliveira decisão consumidor medida orientar qualidade produto devido proximidade estabelecer público alternativa promissor comércio divulgação marca serviço dessarte influenciador digital atender demanda consumidor setor terciário exposto ficar evidente papel influenciador digital diferentes aspecto população contexto crucial promover reconhecimento trabalho mídia- principal comunicação social- parceria ativista lutar igualdade sociocultural internet utilizar divulgar conteúdo via aliás premente empresa continuar investir trabalho inflênce asaim continuar promover diversidade informação serviço alcance população
160,"['Encontramos asiáticos espalhados pelo mundo,declaram-se como amarelos e lutam por igualdade. Por isso o nome preconceito amarelo, esse tema muito vivenciado representa o julgamento e preconceito da sociedade em relação a eles.', 'Atualmente o mundo está vivendo uma pandemia causada pelo coronavírus (covid-19),descobrido em 2020 na China,com isso os asiáticos vem sendo atacados, como se fossem os culpados,obviamente há um responsável por isso,mas aqueles que nem sabiam, não tem culpa da contaminação sofrem as consequências,sempre houve esse preconceito,foram chamados de burros,acusados de terem feito tudo de propósito,mas são comuns,só querem viver em paz,todos tem o seu valor,independente de quem seja. No entanto que descobriram vacinas,mandaram para outros países,é um dos países mais desenvolvidos do mundo,praticamente tudo vem de lá. Vários vivem espalhados em lugares,criando raízes,porém ainda vivenciam ataques,brincadeiras de mau gosto,líderes de certos países fazendo piadinhas,vergonhoso como a falta de empatia é usada.', 'Portanto a lei está a favor de quem sofre essa falta de respeito,é crime cometer esse ato,defendendo e fazendo valer aquilo que todos devem ter,respeito,empatia e amor ao próximo .Devemos viver unidos e fazendo a diferença,sem causar dor,mas sim amor.']",92,"encontramos asiático espalhar mundo declarar se amarelo lutar igualdade nome preconceito amarelo tema vivenciar representar julgamento preconceito sociedade atualmente mundo viver pandemia causar coronavírus covid-19),descobrido 2020 china asiático ser atacar ser culpado obviamente haver responsável saber culpa contaminação sofrer consequência haver preconceito chamar burro acusar ter fazer propósito comum viver paz independente ser entanto descobrir vacina mandar país país desenvolvir mundo praticamente viver espalhar lugar criar raíz vivenciar ataque brincadeira mau gosto líder certos país fazer piadinha vergonhoso empatia usar lei sofrer respeito crime cometer ato defender fazer valer respeito empatia amor .devemos viver unidos fazer diferença causar dor amor"
120,"['O Brasil é considerado o único país com mais de 200 milhões de habitantes que possui um sistema de saúde pública universal (SUS). Fato esse na qual explica a forte sobrecarga de atendimentos na área da saúde pública brasileira. Tal demanda excessiva dos casos enviados ao sistema mostra a tamanha importância do SUS  para a população e os desafios que o país enfrenta diariamente, uma vez que a infraestrutura dos hospitais não privados é precária, o que acarreta na dificuldade dos profissionais da saúde ao exercerem os seus trabalhos.', 'De fato não há suporte estrutural adequado nos estabelecimentos hospitalares públicos do Brasil..  Assim como mostra o seriado  da TV Globo, Sob pressão, n qual é visível a forma em que funciona o dia a dia de um médico no âmbito da saúde pública brasileira . Consequência essa que não se encontra somente nas telas, já que é necessário uma boa infraestrutura nos sistemas de saúde para que esse se torne mais seguro e confiável à sociedade.', 'Além do mais, a falta de um hospital ou posto de saúde apropriado para atender as necessidades da população acarreta no desempenho dos médicos e enfermeiros ao exercerem os seus trabalhos , pois é fundamental o uso de instrumentos básicos como máscaras e luvas nos procedimentos ou consultas. Posto que um dos principais desafios enfrentados pelo sistema de saúde brasileiro é a escassez de equipamentos hospitalares.', 'Portanto, medidas são necessárias para que o SUS não diminua a sua importância e se torne maior que os seus desafios diários. Com isso, a ação do Poder Legislativo ao criar leis que visem o maior investimento no sistema único de saúde por meio de reformas nos estabelecimentos e o fornecimento de mais equipamentos hospitalares são maneiras de amenizar a precariedade não privada da saúde no Brasil.']",48,brasil considerar único país 200 milhão habitante possuir saúde público universal sus fato explicar forte sobrecarga atendimento saúde público brasileiro demanda excessivo caso enviar mostrar tamanho importância sus população desafio país enfrentar diariamente infraestrutura hospital privado precário acarretar dificuldade profissional saúde exercer trabalho fato haver suporte estrutural adequado estabelecimento hospitalar público brasil mostrar seriado tv globo pressão visível funcionar dia dia médico âmbito saúde público brasileiro consequência encontrar tela necessário infraestrutura sistema saúde tornar seguro confiável sociedade hospital posto saúde apropriar atender necessidade população acarretar desempenho médico enfermeiro exercer trabalho fundamental uso instrumento básico máscara luva procedimento consulta posto principal desafio enfrentar saúde brasileiro escassez equipamento hospitalar medida necessário sus diminua importância tornar desafio diário ação legislativo criar lei visem investimento único saúde reforma estabelecimento fornecimento equipamento hospitalar maneira amenizar precariedade privado saúde brasil
120,"['Na ultima década, o pesquisador Gilberto chierice desenvolveu uma substancia chamada fosfoetanolamina sintética, mais conhecida como: Pílula do câncer . Segundo ele, ela promete atuar contra vários tipos de câncer. Mas, será que essa substancia é realmente eficaz? Foram comprovados a eficácia dessa pílula? Tem relatos que mostram melhoras nos pacientes?', 'Alguns relatos nas redes sócias e na mídia mostram que diversas pessoas tiveram uma melhora, ou ate que se curaram após o tratamento com uso dessa substancia . Os testes realizados, foram feito em camundongos, após a aplicação, eles apresentaram uma melhora significativa em diversos tipos de cânceres.', 'Não se fez teste em humanos que comprovaram a sua eficácia, portanto, cientificamente não se pode confiar nela. Por que cada câncer é diferente do outro, ou seja, para combater cada um deles, é necessário a aplicação de diversas drogas. Como por exemplo o câncer de mama, ele não é simplesmente uma substância, mas sim uma série delas localizadas na região do seio.', 'Somos levado a acreditar que realmente é uma droga que promete muito pro futuro, mas, por enquanto não sabemos sua real capacidade de cura e de efeitos colaterais. Não podemos simplesmente ingerir uma droga sem antes ser testada e comprovada pela ciência. A mídia pode ajudar, mostrando depoimentos e debates com especialistas da área. As instituições de ensino também podem dar uma força, conscientizando os jovens do mal que o uso de substancias sem uma comprovação confiável pode nós trazer.']",38,ultimo década pesquisador gilberto chierice desenvolver substancia chamar fosfoetanolamina sintético pílula câncer prometer atuar tipo câncer ser substancia realmente eficaz comprovar eficácia pílula relato mostrar melhora paciente relato rede sóci mídia mostrar diverso pessoa melhora ate curar tratamento uso substancia teste realizar fazer camundongos aplicação apresentar melhora significativo diverso tipo câncer teste humano comprovar eficácia cientificamente confiar em ele câncer diferente outro ser combater de ele necessário aplicação diversos droga câncer mama simplesmente substância série de elas localizar região seio levar acreditar realmente droga prometer pro futuro saber real capacidade cura efeito colateral poder simplesmente ingerir droga testar comprovar ciência mídia ajudar mostrar depoimento debate especialista instituição ensino força conscientizar jovem uso substancia comprovação confiável trazer
